pkid,pbid,layers,variables,constraints,method,p_gate1,best_solution_probs,in_constraints_probs,ARG,iteration_count,classcial,quantum,run_times
0,1,5,6,3,RasenganSegmentedSolver,0.0005,96.88172043010753,100.0,0.035268817133763515,44,19.345959913684055,43.58096725936048,150416
0,2,5,6,3,RasenganSegmentedSolver,0.0005,97.95918367346938,100.0,0.012388113131734135,36,20.157904483610764,40.317533110268414,122786
0,3,5,6,3,RasenganSegmentedSolver,0.0005,98.17400644468314,100.0,0.018080916562089874,32,18.492461546091363,39.431671923957765,110511
0,4,5,6,3,RasenganSegmentedSolver,0.0005,98.27956989247312,100.0,0.020276497681369403,36,18.843491543317214,40.58570854971185,122792
0,5,5,6,3,RasenganSegmentedSolver,0.0005,97.30893433799784,99.99999999999999,0.02468604232297562,31,13.822304835543036,36.60584678663872,107443
0,6,5,6,3,RasenganSegmentedSolver,0.0005,97.41657696447793,99.99999999999999,0.08949715503130416,32,12.430441464763135,36.51964003336616,110511
0,7,5,6,3,RasenganSegmentedSolver,0.0005,97.30893433799784,100.0,0.02177316761902952,33,15.973829146008939,41.89372419612482,113580
0,8,5,6,3,RasenganSegmentedSolver,0.0005,98.27956989247312,100.0,0.0368279569432124,37,20.855842743301764,43.054427498718724,125863
0,9,5,6,3,RasenganSegmentedSolver,0.0005,97.41657696447793,99.99999999999999,0.030678148527650537,34,15.456026238156483,39.508720881771296,116649
0,10,5,6,3,RasenganSegmentedSolver,0.0005,97.41657696447793,99.99999999999999,0.05968185617097907,34,16.104884354397655,39.94275730964728,116651
0,11,5,6,3,RasenganSegmentedSolver,0.0005,97.30893433799784,99.99999999999999,0.02273158993154071,36,17.25887927482836,41.50254406919703,122787
0,12,5,6,3,RasenganSegmentedSolver,0.0005,97.95918367346938,100.0,0.050751879635808246,34,18.081505602924153,37.6694449451752,116644
0,13,5,6,3,RasenganSegmentedSolver,0.0005,97.30893433799784,100.0,0.01778443393245576,29,14.798786152387038,35.31084745656699,98233
0,14,5,6,3,RasenganSegmentedSolver,0.0005,98.17204301075269,100.0,0.005913978489695438,37,19.982422288274392,42.96167942578904,125862
0,15,5,6,3,RasenganSegmentedSolver,0.0005,95.05907626208379,100.0,0.005956449562764616,32,14.158356264000759,37.73121178406291,110511
0,16,5,6,3,RasenganSegmentedSolver,0.0005,98.06659505907626,100.0,0.0179440197025931,36,20.487239205278456,41.88361717085354,122787
0,17,5,6,3,RasenganSegmentedSolver,0.0005,96.99248120300751,100.0,0.013916779520405173,39,18.881493411026895,43.10054340399802,131998
0,18,5,6,3,RasenganSegmentedSolver,0.0005,97.30893433799784,99.99999999999999,0.013429699106834538,36,17.474411023780704,40.64457778027281,122790
