pkid,pbid,layers,variables,constraints,method,amp,best_solution_probs,in_constraints_probs,ARG,iteration_count,classcial,quantum,run_times
0,9,5,6,3,RasenganSegmentedSolver,0.005,27.882037533512065,100.0,0.632540214081874,36,18.855042279697955,103.27214311738499,122780
0,10,5,6,3,RasenganSegmentedSolver,0.005,30.49645390070922,100.0,1.4189125279742576,41,19.757826551329345,116.65986219979823,141195
0,11,5,6,3,RasenganSegmentedSolver,0.005,34.53757225433526,100.0,0.563498809597126,42,21.051112127956003,114.89329327293672,144267
0,12,5,6,3,RasenganSegmentedSolver,0.005,58.17174515235457,100.0,1.2425554001088552,40,20.308938218280673,113.26144532579929,138136
0,13,5,6,3,RasenganSegmentedSolver,0.005,27.080581241743722,100.0,0.18901843653834535,39,18.012681243708357,115.14219052228145,131992
0,14,5,6,3,RasenganSegmentedSolver,0.005,61.02841677943166,100.0,0.16700496152072986,41,17.95855854731053,117.69360924558714,141197
0,15,5,6,3,RasenganSegmentedSolver,0.005,24.18300653594771,100.0,0.04991087341759859,42,18.29289736156352,115.51972661539912,144273
0,16,5,6,3,RasenganSegmentedSolver,0.005,66.75567423230974,100.0,0.3177570091588783,40,18.43214905075729,117.62186568323523,138128
0,17,5,6,3,RasenganSegmentedSolver,0.005,66.31853785900783,100.0,0.2076853217396486,40,18.2457560331095,111.55987732601352,138121
0,18,5,6,3,RasenganSegmentedSolver,0.005,31.946508172362552,100.0,0.35102242960713353,37,18.519464074168354,111.20614560390823,125852
0,19,5,6,3,RasenganSegmentedSolver,0.005,31.886227544910177,100.0,1.4620134712263753,34,16.2307573587168,98.7541488702409,116643
0,20,5,6,3,RasenganSegmentedSolver,0.005,36.55274888558692,99.99999999999999,0.356541427694083,33,17.940776403760538,97.60061005316675,113576
0,21,5,6,3,RasenganSegmentedSolver,0.005,26.180257510729614,100.0,1.2988197408657456,42,20.82936165900901,114.68574080895633,144263
0,22,5,6,3,RasenganSegmentedSolver,0.005,31.133428981348636,100.0,0.5021520801434718,37,18.381037834100425,113.01352595770732,125852
0,23,5,6,3,RasenganSegmentedSolver,0.005,30.148048452220728,100.0,0.2327813212165975,43,20.076310616685078,116.04910369543359,147345
0,24,5,6,3,RasenganSegmentedSolver,0.005,61.06666666666667,100.0,0.07296969693652897,42,19.361886171624064,116.73761204839684,144272
0,25,5,6,3,RasenganSegmentedSolver,0.005,68.83289124668434,100.0,0.029456931437798005,38,18.48539944854565,111.77884314837866,128914
0,26,5,6,3,RasenganSegmentedSolver,0.005,71.87910643889619,100.0,0.48370564997621557,39,17.234755707206205,115.45460727484897,131989
0,27,5,6,3,RasenganSegmentedSolver,0.005,28.306878306878307,100.0,0.11838624323826066,41,19.884027383523062,115.40489888144657,141200
