pkid,method,layers,depth,num_params
13,PenaltySolver,5,295,10
13,PenaltySolver,5,265,10
13,PenaltySolver,5,289,10
13,PenaltySolver,5,268,10
13,PenaltySolver,5,268,10
14,PenaltySolver,5,405,10
14,PenaltySolver,5,417,10
14,PenaltySolver,5,411,10
14,PenaltySolver,5,390,10
14,PenaltySolver,5,378,10
14,PenaltySolver,5,408,10
14,PenaltySolver,5,402,10
14,PenaltySolver,5,333,10
14,PenaltySolver,5,423,10
14,PenaltySolver,5,408,10
15,PenaltySolver,5,503,10
15,PenaltySolver,5,551,10
15,PenaltySolver,5,494,10
15,PenaltySolver,5,470,10
15,PenaltySolver,5,494,10
15,PenaltySolver,5,485,10
15,PenaltySolver,5,401,10
15,PenaltySolver,5,515,10
15,PenaltySolver,5,512,10
15,PenaltySolver,5,488,10
16,PenaltySolver,5,267,10
16,PenaltySolver,5,255,10
16,PenaltySolver,5,255,10
16,PenaltySolver,5,267,10
16,PenaltySolver,5,255,10
16,PenaltySolver,5,255,10
16,PenaltySolver,5,267,10
16,PenaltySolver,5,255,10
16,PenaltySolver,5,255,10
16,PenaltySolver,5,267,10
17,PenaltySolver,5,300,10
17,PenaltySolver,5,315,10
17,PenaltySolver,5,315,10
17,PenaltySolver,5,300,10
17,PenaltySolver,5,315,10
17,PenaltySolver,5,315,10
17,PenaltySolver,5,300,10
17,PenaltySolver,5,315,10
17,PenaltySolver,5,315,10
17,PenaltySolver,5,300,10
18,PenaltySolver,5,740,10
18,PenaltySolver,5,748,10
18,PenaltySolver,5,748,10
18,PenaltySolver,5,748,10
18,PenaltySolver,5,748,10
18,PenaltySolver,5,736,10
18,PenaltySolver,5,740,10
18,PenaltySolver,5,748,10
18,PenaltySolver,5,748,10
18,PenaltySolver,5,748,10
19,PenaltySolver,5,778,10
19,PenaltySolver,5,778,10
19,PenaltySolver,5,793,10
19,PenaltySolver,5,793,10
19,PenaltySolver,5,764,10
19,PenaltySolver,5,798,10
19,PenaltySolver,5,813,10
19,PenaltySolver,5,768,10
19,PenaltySolver,5,801,10
19,PenaltySolver,5,768,10
0,ChocoSolver,5,507,10
0,ChocoSolver,5,507,10
0,ChocoSolver,5,507,10
0,ChocoSolver,5,507,10
0,ChocoSolver,5,507,10
0,ChocoSolver,5,507,10
0,ChocoSolver,5,507,10
0,ChocoSolver,5,507,10
0,ChocoSolver,5,507,10
0,ChocoSolver,5,507,10
1,ChocoSolver,5,1888,10
1,ChocoSolver,5,1888,10
1,ChocoSolver,5,1888,10
1,ChocoSolver,5,1888,10
1,ChocoSolver,5,1888,10
1,ChocoSolver,5,1888,10
1,ChocoSolver,5,1888,10
1,ChocoSolver,5,1888,10
1,ChocoSolver,5,1888,10
1,ChocoSolver,5,1888,10
2,ChocoSolver,5,2688,10
2,ChocoSolver,5,2688,10
2,ChocoSolver,5,2688,10
2,ChocoSolver,5,2688,10
2,ChocoSolver,5,2688,10
2,ChocoSolver,5,2688,10
2,ChocoSolver,5,2688,10
2,ChocoSolver,5,2688,10
2,ChocoSolver,5,2688,10
2,ChocoSolver,5,2688,10
3,ChocoSolver,5,3848,10
3,ChocoSolver,5,3848,10
3,ChocoSolver,5,3848,10
3,ChocoSolver,5,3848,10
3,ChocoSolver,5,3848,10
3,ChocoSolver,5,3848,10
3,ChocoSolver,5,3848,10
3,ChocoSolver,5,3848,10
3,ChocoSolver,5,3848,10
3,ChocoSolver,5,3848,10
4,ChocoSolver,5,1317,10
4,ChocoSolver,5,1312,10
4,ChocoSolver,5,1332,10
4,ChocoSolver,5,1312,10
4,ChocoSolver,5,1332,10
4,ChocoSolver,5,1332,10
4,ChocoSolver,5,1332,10
4,ChocoSolver,5,1317,10
4,ChocoSolver,5,1332,10
4,ChocoSolver,5,1327,10
5,ChocoSolver,5,3502,10
5,ChocoSolver,5,3516,10
5,ChocoSolver,5,3522,10
5,ChocoSolver,5,3540,10
5,ChocoSolver,5,3542,10
5,ChocoSolver,5,3557,10
5,ChocoSolver,5,3557,10
5,ChocoSolver,5,3557,10
5,ChocoSolver,5,3502,10
5,ChocoSolver,5,3526,10
6,ChocoSolver,5,4407,10
6,ChocoSolver,5,4392,10
6,ChocoSolver,5,4407,10
6,ChocoSolver,5,4392,10
6,ChocoSolver,5,4396,10
6,ChocoSolver,5,4432,10
6,ChocoSolver,5,4375,10
6,ChocoSolver,5,4432,10
6,ChocoSolver,5,4412,10
6,ChocoSolver,5,4412,10
7,ChocoSolver,5,5296,10
7,ChocoSolver,5,5244,10
7,ChocoSolver,5,5282,10
7,ChocoSolver,5,5277,10
7,ChocoSolver,5,5302,10
7,ChocoSolver,5,5266,10
7,ChocoSolver,5,5260,10
7,ChocoSolver,5,5262,10
7,ChocoSolver,5,5245,10
7,ChocoSolver,5,5242,10
8,ChocoSolver,5,862,10
8,ChocoSolver,5,862,10
8,ChocoSolver,5,862,10
8,ChocoSolver,5,1262,10
8,ChocoSolver,5,862,10
8,ChocoSolver,5,1262,10
8,ChocoSolver,5,862,10
8,ChocoSolver,5,862,10
8,ChocoSolver,5,1262,10
8,ChocoSolver,5,862,10
9,ChocoSolver,5,2147,10
9,ChocoSolver,5,1747,10
9,ChocoSolver,5,2147,10
9,ChocoSolver,5,2147,10
9,ChocoSolver,5,1747,10
9,ChocoSolver,5,1747,10
9,ChocoSolver,5,2147,10
9,ChocoSolver,5,2147,10
9,ChocoSolver,5,2147,10
9,ChocoSolver,5,2147,10
10,ChocoSolver,5,3017,10
10,ChocoSolver,5,3417,10
10,ChocoSolver,5,3417,10
10,ChocoSolver,5,3017,10
10,ChocoSolver,5,3417,10
10,ChocoSolver,5,3017,10
10,ChocoSolver,5,3417,10
10,ChocoSolver,5,3417,10
10,ChocoSolver,5,3017,10
10,ChocoSolver,5,3017,10
11,ChocoSolver,5,4722,10
11,ChocoSolver,5,4322,10
11,ChocoSolver,5,3922,10
11,ChocoSolver,5,4322,10
11,ChocoSolver,5,4322,10
11,ChocoSolver,5,4722,10
11,ChocoSolver,5,4722,10
11,ChocoSolver,5,4322,10
11,ChocoSolver,5,4722,10
11,ChocoSolver,5,4322,10
12,ChocoSolver,5,572,10
12,ChocoSolver,5,1042,10
12,ChocoSolver,5,1216,10
12,ChocoSolver,5,1057,10
12,ChocoSolver,5,407,10
12,ChocoSolver,5,1442,10
12,ChocoSolver,5,1022,10
12,ChocoSolver,5,707,10
12,ChocoSolver,5,737,10
12,ChocoSolver,5,1607,10
13,ChocoSolver,5,1857,10
13,ChocoSolver,5,2247,10
13,ChocoSolver,5,1291,10
13,ChocoSolver,5,2287,10
13,ChocoSolver,5,1262,10
13,ChocoSolver,5,1237,10
13,ChocoSolver,5,1102,10
13,ChocoSolver,5,2263,10
13,ChocoSolver,5,1598,10
13,ChocoSolver,5,1722,10
14,ChocoSolver,5,2258,10
14,ChocoSolver,5,2058,10
14,ChocoSolver,5,2027,10
14,ChocoSolver,5,1761,10
14,ChocoSolver,5,2497,10
14,ChocoSolver,5,1172,10
14,ChocoSolver,5,1582,10
14,ChocoSolver,5,1877,10
14,ChocoSolver,5,1297,10
14,ChocoSolver,5,1828,10
15,ChocoSolver,5,1863,10
15,ChocoSolver,5,2907,10
15,ChocoSolver,5,1777,10
15,ChocoSolver,5,3482,10
15,ChocoSolver,5,2512,10
15,ChocoSolver,5,918,10
15,ChocoSolver,5,2702,10
15,ChocoSolver,5,2213,10
15,ChocoSolver,5,852,10
15,ChocoSolver,5,1817,10
16,ChocoSolver,5,1877,10
16,ChocoSolver,5,1877,10
16,ChocoSolver,5,1882,10
16,ChocoSolver,5,1877,10
16,ChocoSolver,5,1877,10
16,ChocoSolver,5,1882,10
16,ChocoSolver,5,1877,10
16,ChocoSolver,5,1877,10
