pkid,pbid,layers,variables,constraints,method,num_segments,best_solution_probs,in_constraints_probs,ARG,iteration_count,classcial,quantum,run_times
0,5,5,15,8,RasenganSegmentedSolver,8,95.99609375,100.0,0.015548406859696391,92,128.90778708193102,116.01575389706704,835584
0,6,5,15,8,RasenganSegmentedSolver,8,69.53125,100.0,0.08649811919694479,55,95.54777034527797,75.22111113172286,499712
0,7,5,15,8,RasenganSegmentedSolver,8,98.828125,100.0,0.004239169033127462,110,147.52829961902899,133.35006092096592,999424
0,8,5,15,8,RasenganSegmentedSolver,8,95.1171875,100.0,0.027832031243041993,96,145.15648184419842,152.28514029380312,868352
0,9,5,15,8,RasenganSegmentedSolver,8,94.53125,100.0,0.014716968199172462,78,110.85876899903815,91.01881500095624,704512
0,0,5,15,8,RasenganSegmentedSolver,9,10.44921875,100.0,0.041898287251558024,92,155.68332939407992,171.86663979592413,940032
0,1,5,15,8,RasenganSegmentedSolver,9,96.6796875,100.0,0.007687832445172802,113,178.011063045029,172.54278290596994,1152000
0,2,5,15,8,RasenganSegmentedSolver,9,69.921875,100.0,0.01913101946407688,67,107.76770545401814,101.09551360698242,681984
0,3,5,15,8,RasenganSegmentedSolver,9,27.44140625,100.0,0.04824942128736122,88,179.49867599771824,155.58673481128062,893952
0,4,5,15,8,RasenganSegmentedSolver,9,95.1171875,100.0,0.00829277663798479,75,107.86612288294418,89.18408381305926,764928
0,5,5,15,8,RasenganSegmentedSolver,9,97.94921875,100.0,0.006797640930039678,90,126.06602252144512,114.5829493845522,921600
0,6,5,15,8,RasenganSegmentedSolver,9,81.8359375,100.0,0.04269748263098195,61,108.32589763119176,94.28539909380925,626688
0,7,5,15,8,RasenganSegmentedSolver,9,46.2890625,100.0,0.05464311078303566,81,143.5086751821873,139.65963945481053,829440
0,8,5,15,8,RasenganSegmentedSolver,9,95.703125,100.0,0.023706054681573486,114,180.98212123443227,150.42874139756896,1161216
0,9,5,15,8,RasenganSegmentedSolver,9,90.33203125,100.0,0.012249862936447392,95,155.63354070592322,143.24049139707495,967680
0,0,5,15,8,RasenganSegmentedSolver,10,55.6640625,100.0,0.03252704326297557,101,171.20275202523044,166.66583808176802,1146880
0,1,5,15,8,RasenganSegmentedSolver,10,98.6328125,100.0,0.003573803190728978,87,145.2790351099029,136.70592329210194,983040
0,2,5,15,8,RasenganSegmentedSolver,10,85.15625,100.0,0.00912525614604504,71,121.33497006619291,111.51951698080666,808960
0,3,5,15,8,RasenganSegmentedSolver,10,1.171875,100.0,0.05013020832404996,72,134.30465654388536,119.08703628610965,819200
0,4,5,15,8,RasenganSegmentedSolver,10,98.92578125,100.0,0.004866803277890688,99,161.84793421410723,148.9974476228963,1116160
0,5,5,15,8,RasenganSegmentedSolver,10,98.33984375,100.0,0.007946537988637934,91,132.61221407671837,115.93165155228053,1034240
0,6,5,15,8,RasenganSegmentedSolver,10,96.58203125,100.0,0.015968605321116925,89,150.03481745812314,138.85175255987997,1003520
0,7,5,15,8,RasenganSegmentedSolver,10,32.71484375,100.0,0.05766157669144055,78,169.2861677072142,154.9456067877909,880640
0,8,5,15,8,RasenganSegmentedSolver,10,98.2421875,100.0,0.01193847655951538,96,112.65204154379171,87.33264461020735,1085440
0,9,5,15,8,RasenganSegmentedSolver,10,96.38671875,100.0,0.010947779603342495,91,139.14730889564817,125.05379226935474,1034240
1,0,5,21,12,RasenganSegmentedSolver,1,91.50390625,100.0,0.02642299106765386,173,83.80774275096337,23.598053356043238,195584
1,1,5,21,12,RasenganSegmentedSolver,1,92.08984375,100.0,0.02260228206939444,157,78.91006739503791,21.881324418958684,177152
1,2,5,21,12,RasenganSegmentedSolver,1,83.10546875,100.0,0.017721737129746805,170,85.16753902399796,23.966464262004592,192512
1,3,5,21,12,RasenganSegmentedSolver,1,94.7265625,100.0,0.017998417719240708,150,75.23890278499312,21.955974132004485,169984
1,4,5,21,12,RasenganSegmentedSolver,1,85.7421875,100.0,0.031360035206850705,127,64.88732771801733,18.89457641498302,143360
1,5,5,21,12,RasenganSegmentedSolver,1,1.66015625,100.0,0.07897135415789208,148,75.77367557300022,21.047035191004397,166912
1,6,5,21,12,RasenganSegmentedSolver,1,93.75,100.0,0.01918029784856558,190,91.45716643895867,25.86994898803823,215040
1,7,5,21,12,RasenganSegmentedSolver,1,94.04296875,100.0,0.04343825119356957,125,64.9521350379946,18.667359976003354,141312
1,8,5,21,12,RasenganSegmentedSolver,1,94.82421875,100.0,0.014733355976125602,151,78.92620677403465,21.300934313963808,171008
1,9,5,21,12,RasenganSegmentedSolver,1,82.03125,100.0,0.050645272936627184,135,69.23268823001126,19.819681364984717,152576
1,0,5,21,12,RasenganSegmentedSolver,2,98.6328125,100.0,0.005161830356405453,226,425.3445297358703,139.35607341412833,509952
1,1,5,21,12,RasenganSegmentedSolver,2,98.33984375,100.0,0.005037006578284605,179,351.22661815892207,122.01889128907351,403456
1,2,5,21,12,RasenganSegmentedSolver,2,33.88671875,100.0,0.036578010104915,167,320.49073576308,99.41281718191749,376832
1,3,5,21,12,RasenganSegmentedSolver,2,86.9140625,100.0,0.04404420489948808,148,264.1082308278492,85.68524033415451,333824
1,4,5,21,12,RasenganSegmentedSolver,2,92.28515625,100.0,0.013946963026204654,155,248.6049280907755,76.47125219722511,350208
1,5,5,21,12,RasenganSegmentedSolver,2,95.60546875,100.0,0.012445746526394918,209,371.24114048910997,120.85927316689049,471040
1,6,5,21,12,RasenganSegmentedSolver,2,99.21875,100.0,0.002716064452700615,220,420.73094255184697,149.94911559415777,497664
1,7,5,21,12,RasenganSegmentedSolver,2,92.1875,100.0,0.043175330520543204,210,524.380162821988,159.10830376500962,475136
1,8,5,21,12,RasenganSegmentedSolver,2,90.234375,100.0,0.022531702895285263,161,300.94431456196617,94.83371230703779,364544
1,9,5,21,12,RasenganSegmentedSolver,2,96.38671875,100.0,0.012485166137660106,208,517.2843718832228,165.32969777877588,468992
1,0,5,21,12,RasenganSegmentedSolver,3,97.8515625,100.0,0.01000279017714246,213,509.3468602076682,176.33203216132824,721920
1,1,5,21,12,RasenganSegmentedSolver,3,95.5078125,100.0,0.014609888978340806,180,497.55896555201616,167.00896821698552,611328
1,2,5,21,12,RasenganSegmentedSolver,3,21.97265625,100.0,0.048454733448756664,152,388.3954949271356,142.84925118486717,516096
1,3,5,21,12,RasenganSegmentedSolver,3,92.08984375,100.0,0.027207772939593956,188,486.39724894084793,150.4481170001527,635904
1,4,5,21,12,RasenganSegmentedSolver,3,97.75390625,100.0,0.005020356513377415,191,466.02836037294765,148.33356342405023,648192
1,5,5,21,12,RasenganSegmentedSolver,3,4.6875,100.0,0.027723524302475166,172,421.9605323222495,158.58526120675378,583680
1,6,5,21,12,RasenganSegmentedSolver,3,84.47265625,100.0,0.03883361815799475,207,602.2181322197066,219.71170811929187,700416
1,7,5,21,12,RasenganSegmentedSolver,3,95.01953125,100.0,0.029541015619319034,268,653.6967498341473,211.04207793484966,906240
1,8,5,21,12,RasenganSegmentedSolver,3,98.92578125,100.0,0.003453351448774877,191,449.1989632719851,162.7267071330134,648192
1,9,5,21,12,RasenganSegmentedSolver,3,96.58203125,100.0,0.014895668510772701,243,618.6806184649904,206.5474268280086,823296
1,0,5,21,12,RasenganSegmentedSolver,4,98.92578125,100.0,0.003864397320876515,216,485.66238214320765,248.15467052379245,974848
1,1,5,21,12,RasenganSegmentedSolver,4,97.0703125,100.0,0.008018092104208147,185,426.2314865889057,174.2249230880916,835584
1,2,5,21,12,RasenganSegmentedSolver,4,4.6875,100.0,0.04451976102286474,159,551.6870485610925,221.92009216590668,716800
1,3,5,21,12,RasenganSegmentedSolver,4,98.14453125,100.0,0.00893740110646362,184,446.63276433513965,223.5826618988649,831488
1,4,5,21,12,RasenganSegmentedSolver,4,97.16796875,100.0,0.009215448942364021,194,487.3623568542098,255.01586377578496,876544
1,5,5,21,12,RasenganSegmentedSolver,4,12.6953125,100.0,0.055783420132690734,196,556.5730042557989,281.5979732672058,884736
1,6,5,21,12,RasenganSegmentedSolver,4,96.58203125,100.0,0.010070800779676438,210,654.4582457202632,332.80919598173205,950272
1,7,5,21,12,RasenganSegmentedSolver,4,94.43359375,100.0,0.03267728364756206,167,536.3785160703774,276.159206420627,753664
1,8,5,21,12,RasenganSegmentedSolver,4,1.46484375,100.0,0.11795176628725337,163,421.1778271840303,213.5918111629726,737280
1,9,5,21,12,RasenganSegmentedSolver,4,28.125,100.0,0.21128362339097678,158,547.8017705382372,230.1888389967644,712704
1,0,5,21,12,RasenganSegmentedSolver,5,95.80078125,100.0,0.020354352675663667,227,822.6935870419911,519.4145325040081,1280000
1,1,5,21,12,RasenganSegmentedSolver,5,98.33984375,100.0,0.0058979235189608,160,491.80428567506897,268.78589563292917,906240
1,2,5,21,12,RasenganSegmentedSolver,5,3.3203125,100.0,0.06191119024824836,188,668.860147069543,336.75368100945343,1059840
1,3,5,21,12,RasenganSegmentedSolver,5,96.6796875,100.0,0.011879450156724121,196,541.2948058732654,293.0710023667343,1105920
1,4,5,21,12,RasenganSegmentedSolver,5,96.6796875,100.0,0.012351452463049093,206,577.9433440382054,318.1003718817956,1162240
1,5,5,21,12,RasenganSegmentedSolver,5,0.5859375,100.0,0.023969184025114536,177,455.6966480677438,211.5601369232536,998400
1,6,5,21,12,RasenganSegmentedSolver,5,98.4375,100.0,0.0039520263665699966,210,603.6927391254067,275.8904099755964,1187840
